,Changi Airport: No. of Flight ,Changi Airport: Passenger Movements,Changi Airport: Air Freight Movements
Region,Singapore,Singapore,Singapore
Subnational,,,
Frequency,Monthly,Monthly,Monthly
Unit,Unit,Person,Ton
Source,Changi Airport Group,Changi Airport Group,Changi Airport Group
Status,Active,Active,Active
Series ID,36670301 (STBFB),241774802 (STBFBC),241774902 (STBFBD)
SR Code,SR88608507,SR88608517,SR88608527
Trade Code,,,
Mnemonic,,,
Function Description,,,
First Obs. Date,01/1980,01/1980,01/1986
Last Obs. Date,02/2026,02/2026,02/2026
Last Update Time,20/03/2026,20/03/2026,20/03/2026
Series Remarks,[COVID-19-IMPACT],[COVID-19-IMPACT],[COVID-19-IMPACT]
Suggestions,,,
Mean,16559.853790613717,2612266.525270758,125010.5622406639
Variance,80011376.13229123,2775366788111.946,2020571795.7892587
Standard Deviation,8944.90783252076,1665943.2127512468,44950.7708030603
Skewness,0.4460541072783406,0.5032133603550285,-0.7648190680617217
Kurtosis,-1.1442984089156782,-0.8889562899092436,-0.6686867768210982
Coefficient Variation,0.5401562082384337,0.6377386061625445,0.35957578301682536
Min,3865,24504,24675
Max,33435,6414495,191676
Median,14476.5,2275184,141889
Sum,9174159,1447195655,60255091
Subtract,-29570,-6389991,-167001
No. of Obs,554,554,482
01/1980,6501,566879,
02/1980,6112,552263,
03/1980,6391,597644,
04/1980,6247,561218,
05/1980,6301,587003,
06/1980,6094,594860,
07/1980,6279,618380,
08/1980,6553,684907,
09/1980,6245,585076,
10/1980,6461,611995,
11/1980,6326,640824,
12/1980,6461,693500,
01/1981,6294,630711,
02/1981,5784,619577,
03/1981,6258,645765,
04/1981,5752,629547,
05/1981,5872,627592,
06/1981,5757,674922,
07/1981,6009,706279,
08/1981,6069,774005,
09/1981,5849,665399,
10/1981,5944,688913,
11/1981,5755,716405,
12/1981,6022,773043,
01/1982,5958,729142,
02/1982,5375,636075,
03/1982,5921,693735,
04/1982,5638,667589,
05/1982,5590,675233,
06/1982,5545,731708,
07/1982,5738,762582,
08/1982,5777,794148,
09/1982,5641,700226,
10/1982,5754,707962,
11/1982,5457,731550,
12/1982,5765,781862,
01/1983,5671,686749,
02/1983,5282,655858,
03/1983,5649,697684,
04/1983,5484,667350,
05/1983,5685,701404,
06/1983,5498,737906,
07/1983,5658,742363,
08/1983,5828,795479,
09/1983,5674,723604,
10/1983,5815,716388,
11/1983,5556,724244,
12/1983,5794,830123,
01/1984,5746,734069,
02/1984,5512,706296,
03/1984,5795,720520,
04/1984,5702,762504,
05/1984,5932,779161,
06/1984,5875,803912,
07/1984,5998,810193,
08/1984,6112,880911,
09/1984,5902,790793,
10/1984,5988,787115,
11/1984,5925,790133,
12/1984,6187,900044,
01/1985,6108,768508,
02/1985,5688,751999,
03/1985,6181,834356,
04/1985,6061,784903,
05/1985,6157,775913,
06/1985,6104,877773,
07/1985,6147,836088,
08/1985,6374,907057,
09/1985,6139,798452,
10/1985,6137,790129,
11/1985,5932,803441,
12/1985,6195,928211,
01/1986,6127,807085,25356
02/1986,5696,771454,24675
03/1986,6212,806335,31153
04/1986,6045,773449,29483
05/1986,6268,772100,28676
06/1986,6049,872208,26873
07/1986,6247,874633,28984
08/1986,6358,928049,28737
09/1986,6003,837989,30365
10/1986,6039,825774,32315
11/1986,5863,846396,32738
12/1986,6115,952247,33451
01/1987,6161,885309,28854
02/1987,5619,808397,29839
03/1987,6340,874058,36544
04/1987,6113,853540,33905
05/1987,6422,880365,34365
06/1987,6288,962928,32430
07/1987,6508,1006201,35229
08/1987,6763,1045218,33896
09/1987,6320,928063,36380
10/1987,6464,936870,37783
11/1987,6392,942284,39942
12/1987,6886,1080560,39932
01/1988,6729,969411,37889
02/1988,6516,947520,37992
03/1988,6727,1020237,42492
04/1988,6698,978738,42092
05/1988,6975,968082,39746
06/1988,6856,1057159,41035
07/1988,7147,1106853,42814
08/1988,7240,1137586,41609
09/1988,6792,1036348,45616
10/1988,7048,1056306,47593
11/1988,7069,1100585,46191
12/1988,7133,1216461,47440
01/1989,6952,1107283,42580
02/1989,6516,1050398,40676
03/1989,7145,1160644,50945
04/1989,7190,1089718,48342
05/1989,7365,1100198,45446
06/1989,7209,1171689,45767
07/1989,7342,1222448,48811
08/1989,7343,1240544,48582
09/1989,7260,1195918,49943
10/1989,7562,1196750,52427
11/1989,7593,1244156,51996
12/1989,7944,1356621,52095
01/1990,8070,1272188,45263
02/1990,7358,1183722,45088
03/1990,8130,1296306,56444
04/1990,7891,1236082,48982
05/1990,8250,1250117,49330
06/1990,7930,1318779,51371
07/1990,8123,1324661,51851
08/1990,8214,1384333,52114
09/1990,8009,1257513,54526
10/1990,8337,1280024,56593
11/1990,8433,1334484,55494
12/1990,8930,1482549,56785
01/1991,8615,1233440,49653
02/1991,7883,1087214,49351
03/1991,8600,1200026,58255
04/1991,8572,1238184,49941
05/1991,9015,1246966,52915
06/1991,8981,1467963,54611
07/1991,9198,1405019,53203
08/1991,9303,1505693,52459
09/1991,9033,1391759,53772
10/1991,9455,1403076,55657
11/1991,9733,1475565,56547
12/1991,10340,1630134,56845
01/1992,10196,1421867,53097
02/1992,9736,1464483,49960
03/1992,10093,1408279,60712
04/1992,10001,1432848,53053
05/1992,10475,1367468,59044
06/1992,10222,1542834,57557
07/1992,10703,1574162,60477
08/1992,10741,1626682,60434
09/1992,10415,1498673,63126
10/1992,10752,1473008,68336
11/1992,10804,1557646,66911
12/1992,11388,1732205,66297
01/1993,11322,1650043,56841
02/1993,10020,1419927,59144
03/1993,11192,1597919,71105
04/1993,11181,1565152,64668
05/1993,11544,1537191,68442
06/1993,11308,1717822,66987
07/1993,11681,1717189,71047
08/1993,11702,1825434,69606
09/1993,11235,1608241,73838
10/1993,11729,1658633,80121
11/1993,11592,1738822,76576
12/1993,12256,1950841,80041
01/1994,11985,1690558,71162
02/1994,11212,1674645,68606
03/1994,12091,1833797,83960
04/1994,11797,1693219,79103
05/1994,12175,1648928,82099
06/1994,11920,1811503,84031
07/1994,12241,1879921,86515
08/1994,12242,1953458,84944
09/1994,11941,1767093,90727
10/1994,12413,1783161,95323
11/1994,12363,1837525,91199
12/1994,12954,2070869,92095
01/1995,12818,1882522,81865
02/1995,11755,1731013,78092
03/1995,13002,1891114,95374
04/1995,12806,1783931,92595
05/1995,13047,1794882,89335
06/1995,12773,1940256,94997
07/1995,13195,2016698,95360
08/1995,13237,2077971,91510
09/1995,12785,1919314,95615
10/1995,13303,1934830,96627
11/1995,13461,2003006,97058
12/1995,14152,2220703,97345
01/1996,13768,1892839,87487
02/1996,13259,1919938,84519
03/1996,13823,2036719,100787
04/1996,13606,1942508,93637
05/1996,14165,1918785,96793
06/1996,13790,2128942,97849
07/1996,14150,2067977,97375
08/1996,14094,2137310,100226
09/1996,13588,1908094,102973
10/1996,14091,2010634,109699
11/1996,13857,2144333,108475
12/1996,14558,2406169,110637
01/1997,14380,2041433,101696
02/1997,13299,2065920,91054
03/1997,14593,2194442,120082
04/1997,14138,2005286,109957
05/1997,14667,2005959,110733
06/1997,14319,2226839,110426
07/1997,14700,2204621,113440
08/1997,14634,2165016,114254
09/1997,14161,2056664,113704
10/1997,14505,1913596,121313
11/1997,14354,2007658,115419
12/1997,14922,2286910,114176
01/1998,14684,1938798,94860
02/1998,12882,1752422,92547
03/1998,14033,1895942,114977
04/1998,13560,1913054,102971
05/1998,14287,1945342,107326
06/1998,13431,2017927,105781
07/1998,13782,1977846,109957
08/1998,13706,2082829,104780
09/1998,13348,1902633,107672
10/1998,13957,2008947,114172
11/1998,13601,2037230,114668
12/1998,13971,2330210,113949
01/1999,13831,2092950,103180
02/1999,12675,1973070,101186
03/1999,14001,2158459,123654
04/1999,13604,2002629,115318
05/1999,14044,2024338,121737
06/1999,13796,2241423,120574
07/1999,14089,2229213,126753
08/1999,14008,2278976,124146
09/1999,13605,2147672,131606
10/1999,14080,2220387,144983
11/1999,13780,2309505,141361
12/1999,14448,2386023,145895
01/2000,14152,2221797,120874
02/2000,13648,2215569,122269
03/2000,14517,2345783,147185
04/2000,14189,2371910,137465
05/2000,14523,2271392,137665
06/2000,14324,2419411,140090
07/2000,14726,2473812,146688
08/2000,14796,2466113,144776
09/2000,14401,2380969,148364
10/2000,14941,2410924,149912
11/2000,14601,2426484,145840
12/2000,15138,2614036,141361
01/2001,15253,2467100,115847
02/2001,13699,2126733,123132
03/2001,15284,2451966,137645
04/2001,14893,2314821,120744
05/2001,15503,2300020,120527
06/2001,15092,2447201,122890
07/2001,15393,2513806,121135
08/2001,15377,2481805,127929
09/2001,14818,2285790,128242
10/2001,14898,2096942,130742
11/2001,14302,2094570,130233
12/2001,14848,2513005,127996
01/2002,14563,2265051,119374
02/2002,13227,2207855,115464
03/2002,14587,2496235,146873
04/2002,14187,2340976,134568
05/2002,14784,2393972,134924
06/2002,14299,2456221,141246
07/2002,14796,2478260,138534
08/2002,14867,2496030,138618
09/2002,14420,2345354,138893
10/2002,15050,2398719,147325
11/2002,14666,2349313,145988
12/2002,15374,2751358,135989
01/2003,15268,2473455,126841
02/2003,13977,2242013,115585
03/2003,15254,2217884,145294
04/2003,11780,1168611,129669
05/2003,9555,1003619,125909
06/2003,9859,1527529,127176
07/2003,11727,2121034,130797
08/2003,12377,2258839,132846
09/2003,12498,2243004,141322
10/2003,13422,2301146,150642
11/2003,14005,2404322,143868
12/2003,14624,2702681,141458
01/2004,14695,2516148,123962
02/2004,13481,2173157,136379
03/2004,14724,2365455,156032
04/2004,14768,2370567,142512
05/2004,15490,2375387,147718
06/2004,15273,2603192,149699
07/2004,15809,2679107,151493
08/2004,15850,2597601,147398
09/2004,15569,2441242,155801
10/2004,16352,2562470,161287
11/2004,16094,2712571,149297
12/2004,16828,2956668,153511
01/2005,16666,2532594,141661
02/2005,15010,2307000,127491
03/2005,16649,2628115,155424
04/2005,16813,2561634,150065
05/2005,17431,2608397,145267
06/2005,17201,2806185,149872
07/2005,17523,2898656,154829
08/2005,17400,2780426,152382
09/2005,16834,2654697,160193
10/2005,17371,2748919,170118
11/2005,17324,2801076,160357
12/2005,17916,3103157,166062
01/2006,17780,2837001,146325
02/2006,16043,2545676,140176
03/2006,18164,2847456,176349
04/2006,17672,2850395,157341
05/2006,17962,2784615,154678
06/2006,17561,2980106,155230
07/2006,18018,3049601,158262
08/2006,17992,2957866,157096
09/2006,17625,2765037,165053
10/2006,18398,2972562,162503
11/2006,18022,3024706,172464
12/2006,18987,3418062,165740
01/2007,18452,2944074,143599
02/2007,16661,2718900,136561
03/2007,18611,3071748,168519
04/2007,18021,2968719,154124
05/2007,18561,2930477,150215
06/2007,18177,3125696,157843
07/2007,18622,3156243,158940
08/2007,18643,3111873,161586
09/2007,18194,2900307,164422
10/2007,18950,3077064,164386
11/2007,18515,3182693,169882
12/2007,19339,3513762,164692
01/2008,18868,3113263,154828
02/2008,18104,2940491,142359
03/2008,19370,3264616,169380
04/2008,18884,3049449,158041
05/2008,19590,3134572,160120
06/2008,19103,3215021,159065
07/2008,19697,3232007,162776
08/2008,19673,3148362,162918
09/2008,19009,2888892,160899
10/2008,19664,3132419,151278
11/2008,19193,3081842,145815
12/2008,20771,3493890,129462
01/2009,20373,3073677,116961
02/2009,17615,2558953,112418
03/2009,19559,2901885,132370
04/2009,19625,2914509,126293
05/2009,19711,2787124,133442
06/2009,19071,3053035,132491
07/2009,20264,3169720,141540
08/2009,20495,3162960,140818
09/2009,20115,3063650,140789
10/2009,20986,3320887,154377
11/2009,20661,3365250,152567
12/2009,21885,3832328,149725
01/2010,21502,3384473,141059
02/2010,19617,3108244,130577
03/2010,21604,3448617,157211
04/2010,21303,3283071,146849
05/2010,22151,3389972,153098
06/2010,21833,3621082,149827
07/2010,22593,3673387,158200
08/2010,22368,3467630,154513
09/2010,21923,3393497,151055
10/2010,22488,3581850,162408
11/2010,22372,3623080,153180
12/2010,23839,4063874,155832
01/2011,24000,3787070,147223
02/2011,22013,3390264,128048
03/2011,24403,3708592,166148
04/2011,24266,3731875,155811
05/2011,24994,3773137,157286
06/2011,25059,4011823,153208
07/2011,25908,4172971,160120
08/2011,25708,3855722,153120
09/2011,25513,3817720,154359
10/2011,26270,3878788,163114
11/2011,25923,3890535,160206
12/2011,27654,4525348,166607
01/2012,27584,4244834,136843
02/2012,24903,3770270,143903
03/2012,26981,4277559,163170
04/2012,26410,4206420,148244
05/2012,26990,4089894,152884
06/2012,26662,4402693,153330
07/2012,27093,4360693,157171
08/2012,27381,4276912,150753
09/2012,26526,4002344,155834
10/2012,27641,4268532,153624
11/2012,27593,4365456,156346
12/2012,28958,4916197,157018
01/2013,28203,4325530,144774
02/2013,25939,4117962,130244
03/2013,28423,4608339,171922
04/2013,27544,4240461,150136
05/2013,28451,4281153,152192
06/2013,28283,4669334,155107
07/2013,28955,4536572,158874
08/2013,29613,4678005,149873
09/2013,28441,4279588,151814
10/2013,29485,4405289,156337
11/2013,29505,4464415,160007
12/2013,30923,5119439,156424
01/2014,30353,4596764,150308
02/2014,26764,4109038,126759
03/2014,29141,4493991,169750
04/2014,28358,4383872,151069
05/2014,28933,4368639,157500
06/2014,28130,4654569,154729
07/2014,28205,4581591,155018
08/2014,28356,4649022,156029
09/2014,27024,4256229,147780
10/2014,28380,4490180,159695
11/2014,28031,4415710,156536
12/2014,29711,5093465,158628
01/2015,28779,4420122,151814
02/2015,26491,4121357,135966
03/2015,28793,4535119,162659
04/2015,28256,4391381,153447
05/2015,29042,4480261,157047
06/2015,28531,4699589,151304
07/2015,29412,4893574,147527
08/2015,29606,4955301,151647
09/2015,28464,4421554,155058
10/2015,29610,4600789,162496
11/2015,28729,4636752,160482
12/2015,30621,5293165,163639
