,SGX: Turnover: Shares: Total,Foreign Exchange Market: SGD: Total Turnover
Region,Singapore,Singapore
Subnational,,
Frequency,"Daily, ""5 observation""",Monthly
Unit,Share mn,SGD mn
Source,The Business Times,Monetary Authority of Singapore
Status,Active,Active
Series ID,35960701 (SDIGA),471805317 (SZOADDABEAAANS)
SR Code,SR763792,SR154104557
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,08/31/1998,07/01/2021
Last Obs. Date,03/30/2026,02/01/2026
Last Update Time,31/03/2026,31/03/2026
Series Remarks,,
Suggestions,,
Mean,1440.875758469622,30291099.23214286
Variance,899607.4485398316,19403448972242.324
Standard Deviation,948.4763827000816,4404934.616114332
Skewness,2.341111967295029,0.32278515658520723
Kurtosis,13.002213110298785,-0.8158387121414026
Coefficient Variation,0.6582638212384626,0.14542009790916122
Min,0,22881125
Max,12513.462,40749322
Median,1326.0725,30380850
Sum,9867117.193999989,1696301557
Subtract,-12513.462,-17868197
No. of Obs,6848,56
08/31/1998,167.143,
09/01/1998,173.18,
09/02/1998,127.37,
09/03/1998,109.757,
09/04/1998,126.552,
09/07/1998,253.402,
09/08/1998,213.096,
09/09/1998,125.269,
09/10/1998,120.917,
09/11/1998,138.131,
09/14/1998,248.377,
09/15/1998,324.931,
09/16/1998,323.033,
09/17/1998,290.116,
09/18/1998,152.797,
09/21/1998,103.578,
09/22/1998,154.177,
09/23/1998,97.949,
09/24/1998,261.707,
09/25/1998,131.525,
09/28/1998,131.896,
09/29/1998,132.434,
09/30/1998,128.986,
10/01/1998,140.892,
10/02/1998,100.758,
10/05/1998,96.633,
10/06/1998,78.086,
10/07/1998,186.411,
10/08/1998,265.983,
10/09/1998,391.355,
10/12/1998,527.86,
10/13/1998,257.085,
10/14/1998,334.235,
10/15/1998,401.306,
10/16/1998,721.266,
10/20/1998,615.026,
10/21/1998,751.332,
10/22/1998,540.209,
10/23/1998,327.256,
10/26/1998,242.19,
10/27/1998,443.325,
10/28/1998,545.088,
10/29/1998,602.112,
10/30/1998,765.881,
11/02/1998,746.39,
11/03/1998,688.723,
11/04/1998,534.776,
11/05/1998,1047.842,
11/06/1998,494.977,
11/09/1998,404.347,
11/10/1998,395.756,
11/11/1998,429.851,
11/12/1998,323.216,
11/13/1998,250.252,
11/16/1998,253.706,
11/17/1998,274.258,
11/18/1998,414.834,
11/19/1998,493.668,
11/20/1998,658.387,
11/23/1998,581.267,
11/24/1998,658.705,
11/25/1998,459.429,
11/26/1998,310.377,
11/27/1998,232.491,
11/30/1998,308.59,
12/01/1998,274.243,
12/02/1998,201.008,
12/03/1998,265.342,
12/04/1998,240.119,
12/07/1998,215.442,
12/08/1998,277.207,
12/09/1998,288.896,
12/10/1998,524.281,
12/11/1998,226.21,
12/14/1998,209.647,
12/15/1998,227.652,
12/16/1998,174.246,
12/17/1998,232.731,
12/18/1998,204.649,
12/21/1998,140.789,
12/22/1998,164.61,
12/23/1998,132.042,
12/24/1998,71.662,
12/28/1998,96.347,
12/29/1998,96.439,
12/30/1998,167.009,
12/31/1998,87.945,
01/04/1999,243.315,
01/05/1999,266.682,
01/06/1999,512.491,
01/07/1999,590.792,
01/08/1999,424.067,
01/11/1999,408.061,
01/12/1999,635.839,
01/13/1999,694.787,
01/14/1999,478.169,
01/15/1999,472.735,
01/18/1999,359.045,
01/20/1999,378.264,
01/21/1999,313.353,
01/22/1999,358.416,
01/25/1999,333.613,
01/26/1999,290.714,
01/27/1999,267.801,
01/28/1999,171.907,
01/29/1999,165.874,
02/01/1999,170.784,
02/02/1999,198.494,
02/03/1999,257.927,
02/04/1999,223.927,
02/05/1999,175.961,
02/08/1999,162.643,
02/09/1999,174.593,
02/10/1999,199.447,
02/11/1999,298.08,
02/12/1999,216.375,
02/15/1999,77.792,
02/18/1999,80.218,
02/19/1999,165.103,
02/22/1999,155.958,
02/23/1999,173.721,
02/24/1999,141.617,
02/25/1999,129.489,
02/26/1999,198.8,
03/01/1999,120.948,
03/02/1999,176.961,
03/03/1999,152.245,
03/04/1999,171.61,
03/05/1999,229.575,
03/08/1999,168.263,
03/09/1999,158.668,
03/10/1999,328.976,
03/11/1999,320.747,
03/12/1999,216.39,
03/15/1999,185.888,
03/16/1999,138.683,
03/17/1999,175.678,
03/18/1999,157.372,
03/19/1999,273.239,
03/22/1999,200.652,
03/23/1999,439.844,
03/24/1999,276.871,
03/25/1999,464.541,
03/26/1999,308.561,
03/30/1999,334.253,
03/31/1999,280.413,
04/01/1999,456.118,
04/05/1999,575.361,
04/06/1999,706.378,
04/07/1999,594.502,
04/08/1999,534.427,
04/09/1999,684.021,
04/12/1999,381.96,
04/13/1999,431.337,
04/14/1999,931.733,
04/15/1999,906.673,
04/16/1999,1062.526,
04/19/1999,1302.966,
04/20/1999,693.323,
04/21/1999,1356.023,
04/22/1999,1390.746,
04/23/1999,747.884,
04/26/1999,601.932,
04/27/1999,657.629,
04/28/1999,701.419,
04/29/1999,558.003,
04/30/1999,609.59,
05/03/1999,788.995,
05/04/1999,947.496,
05/05/1999,909.073,
05/06/1999,1214.912,
05/07/1999,1103.151,
05/10/1999,559.506,
05/11/1999,594.341,
05/12/1999,844.607,
05/13/1999,561.399,
05/14/1999,832.143,
05/17/1999,635.377,
05/18/1999,774.485,
05/19/1999,863.779,
05/20/1999,771.519,
05/21/1999,996.443,
05/24/1999,1262.373,
05/25/1999,1263.942,
05/26/1999,1122.673,
05/27/1999,1715.246,
05/28/1999,923.794,
05/31/1999,1530.401,
